Dates,DayOfWeek,PdDistrict,Address,X,Y,Category
11/30/2012 23:50,Friday,SOUTHERN,900 Block of MISSION ST,-122.4079329,37.78150637,OTHER OFFENSES
5/31/2007 11:47,Thursday,INGLESIDE,RUTLAND ST / SUNNYDALE AV,-122.4086409,37.70984572,DRUG/NARCOTIC
8/26/2005 11:30,Friday,CENTRAL,2800 Block of TAYLOR ST,-122.4159234,37.80859051,NON-CRIMINAL
10/30/2013 1:00,Wednesday,MISSION,100 Block of GUERRERO ST,-122.4243228,37.7683036,SEX OFFENSES FORCIBLE
3/20/2004 15:15,Saturday,SOUTHERN,JONES ST / MARKET ST,-122.4119795,37.78090397,OTHER OFFENSES
10/3/2012 8:55,Wednesday,NORTHERN,1500 Block of WEBSTER ST,-122.4311346,37.78500304,OTHER OFFENSES
6/9/2008 16:45,Monday,PARK,800 Block of CENTRAL AV,-122.4451313,37.77742223,BURGLARY
7/10/2003 19:45,Thursday,SOUTHERN,THE EMBARCADERO SOUTH ST / HARRISON ST,-122.3884856,37.78957276,LARCENY/THEFT
9/21/2007 4:49,Friday,CENTRAL,500 Block of JEFFERSON ST,-122.4213022,37.80757655,DRUG/NARCOTIC
6/29/2010 13:30,Tuesday,SOUTHERN,300 Block of BRANNAN ST,-122.3937927,37.78056819,NON-CRIMINAL
7/18/2010 12:30,Sunday,TARAVAL,LINCOLN WY / 16TH AV,-122.4740465,37.76559141,OTHER OFFENSES
6/1/2011 18:30,Wednesday,BAYVIEW,200 Block of WILLIAMS AV,-122.3977444,37.72993469,NON-CRIMINAL
3/19/2007 21:13,Monday,BAYVIEW,1700 Block of 25TH ST,-122.3960451,37.75239403,ASSAULT
5/1/2004 21:45,Saturday,TENDERLOIN,200 Block of MASON ST,-122.4095237,37.7857603,OTHER OFFENSES
4/16/2009 9:30,Thursday,CENTRAL,400 Block of SANSOME ST,-122.401514,37.79462443,SUSPICIOUS OCC
1/12/2011 13:27,Wednesday,TARAVAL,0 Block of MARGARET AV,-122.4520822,37.71794642,OTHER OFFENSES
6/28/2014 17:15,Saturday,MISSION,16TH ST / FOLSOM ST,-122.4153084,37.76531614,ASSAULT
3/4/2013 23:00,Monday,MISSION,HARRISON ST / 22ND ST,-122.4121992,37.75583206,OTHER OFFENSES
7/22/2014 23:30,Tuesday,RICHMOND,FULTON ST / 44TH AV,-122.5045426,37.77163923,LARCENY/THEFT
12/14/2005 9:30,Wednesday,PARK,0 Block of LYON ST,-122.4420245,37.7711131,BURGLARY
11/2/2013 3:30,Saturday,MISSION,20TH ST / SOUTH VAN NESS AV,-122.4168729,37.75876402,DRUG/NARCOTIC
3/21/2008 20:00,Friday,SOUTHERN,700 Block of CLEMENTINA ST,-122.4113566,37.77476324,SUSPICIOUS OCC
7/12/2012 18:38,Thursday,MISSION,1300 Block of VERMONT ST,-122.4034143,37.75252402,WEAPON LAWS
3/7/2013 15:08,Thursday,NORTHERN,2800 Block of POLK ST,-122.4231148,37.80296877,LARCENY/THEFT
5/2/2003 23:30,Friday,NORTHERN,1600 Block of POLK ST,-122.4210331,37.79193935,LARCENY/THEFT
6/9/2009 21:00,Tuesday,TENDERLOIN,GOLDEN GATE AV / JONES ST,-122.4122242,37.78207293,VEHICLE THEFT
5/14/2009 16:45,Thursday,SOUTHERN,1000 Block of MARKET ST,-122.4110714,37.78175113,DRUG/NARCOTIC
4/19/2014 7:44,Saturday,SOUTHERN,MISSION ST / 11TH ST,-122.4171049,37.77432429,DRUG/NARCOTIC
1/29/2011 3:00,Saturday,RICHMOND,900 Block of BALBOA ST,-122.468841,37.77706904,VANDALISM
1/7/2003 0:01,Tuesday,BAYVIEW,1200 Block of 16TH ST,-122.3990071,37.76624247,FRAUD
2/10/2013 2:05,Sunday,MISSION,2100 Block of MISSION ST,-122.4194705,37.76227017,ROBBERY
4/7/2011 20:16,Thursday,PARK,HAIGHT ST / CLAYTON ST,-122.4485785,37.76979772,SUSPICIOUS OCC
8/22/2012 19:45,Wednesday,TENDERLOIN,100 Block of OFARRELL ST,-122.4072441,37.78656476,LARCENY/THEFT
11/27/2012 17:47,Tuesday,SOUTHERN,1600 Block of MISSION ST,-122.4191057,37.77198577,LARCENY/THEFT
12/13/2006 13:00,Wednesday,INGLESIDE,200 Block of BEMIS ST,-122.4319796,37.73625264,VANDALISM
2/6/2004 8:00,Friday,BAYVIEW,300 Block of BACON ST,-122.4060636,37.72693197,MISSING PERSON
4/18/2015 22:00,Saturday,INGLESIDE,0 Block of PARK ST,-122.4248368,37.73672853,VANDALISM
11/1/2007 11:00,Thursday,INGLESIDE,500 Block of PORTOLA DR,-122.451164,37.74556401,NON-CRIMINAL
11/29/2008 1:31,Saturday,TENDERLOIN,TAYLOR ST / TURK ST,-122.4107688,37.78321452,ASSAULT
1/30/2011 14:28,Sunday,INGLESIDE,900 Block of RUSSIA AV,-122.4296026,37.71790388,ASSAULT
2/22/2013 16:00,Friday,TENDERLOIN,400 Block of LEAVENWORTH ST,-122.4145938,37.78511998,LARCENY/THEFT
5/18/2008 10:30,Sunday,TARAVAL,2300 Block of 24TH AV,-122.4811832,37.74372682,OTHER OFFENSES
3/24/2012 9:00,Saturday,CENTRAL,300 Block of DRUMM ST,-122.3969808,37.79681245,SUSPICIOUS OCC
12/10/2013 19:00,Tuesday,NORTHERN,400 Block of HAIGHT ST,-122.4296227,37.77215583,LARCENY/THEFT
5/12/2003 0:15,Monday,TARAVAL,2200 Block of UPPER GREAT HY,-122.5072452,37.74445153,ASSAULT
10/15/2004 16:58,Friday,MISSION,500 Block of CHURCH ST,-122.4284616,37.76168443,NON-CRIMINAL
4/5/2007 11:50,Thursday,TENDERLOIN,100 Block of OFARRELL ST,-122.4072441,37.78656476,LARCENY/THEFT
1/12/2013 17:00,Saturday,SOUTHERN,VALENCIA ST / MARKET ST,-122.4226225,37.77250387,LARCENY/THEFT
6/12/2003 15:00,Thursday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071,SEX OFFENSES FORCIBLE
8/23/2011 13:28,Tuesday,INGLESIDE,3300 Block of MISSION ST,-122.421128,37.74355505,LARCENY/THEFT
7/29/2011 11:37,Friday,SOUTHERN,4TH ST / STILLMAN ST,-122.3986036,37.77998017,MISSING PERSON
7/9/2013 10:00,Tuesday,CENTRAL,LOMBARD ST / HYDE ST,-122.4196161,37.80199424,LARCENY/THEFT
1/22/2009 11:05,Thursday,SOUTHERN,1100 Block of MARKET ST,-122.4135641,37.77951403,NON-CRIMINAL
7/24/2014 17:13,Thursday,BAYVIEW,REVERE AV / CRISP RD,-122.3823222,37.72721776,ASSAULT
1/31/2010 5:15,Sunday,NORTHERN,GROVE ST / LARKIN ST,-122.4165835,37.77865915,MISSING PERSON
6/28/2014 1:30,Saturday,MISSION,3200 Block of 22ND ST,-122.4192972,37.75534659,LARCENY/THEFT
7/27/2008 9:26,Sunday,CENTRAL,BAY ST / STOCKTON ST,-122.4103138,37.80602666,NON-CRIMINAL
10/5/2013 17:00,Saturday,MISSION,2400 Block of HARRISON ST,-122.412354,37.75821766,NON-CRIMINAL
4/23/2005 15:54,Saturday,INGLESIDE,100 Block of ROANOKE ST,-122.4305668,37.73578492,VEHICLE THEFT
5/7/2005 9:00,Saturday,PARK,6TH AV / IRVING ST,-122.4631023,37.76417821,LARCENY/THEFT
3/23/2007 10:40,Friday,TARAVAL,1900 Block of 21ST AV,-122.4784878,37.7513278,NON-CRIMINAL
5/13/2008 0:02,Tuesday,CENTRAL,GEARY ST / LARKIN ST,-122.4180908,37.78610075,DRUG/NARCOTIC
6/16/2013 19:30,Sunday,SOUTHERN,5TH ST / BRYANT ST,-122.4003024,37.77779923,LARCENY/THEFT
3/19/2003 18:15,Wednesday,RICHMOND,2400 Block of SUTTER ST,-122.4407318,37.78519392,ASSAULT
6/28/2012 16:40,Thursday,MISSION,1000 Block of HAMPSHIRE ST,-122.4074548,37.75529635,NON-CRIMINAL
12/11/2008 7:24,Thursday,CENTRAL,900 Block of UNION ST,-122.4146881,37.79980832,ASSAULT
12/2/2007 2:20,Sunday,BAYVIEW,500 Block of BARNEVELD AV,-122.4042969,37.74044594,ASSAULT
1/13/2010 22:50,Wednesday,BAYVIEW,400 Block of GAVEN ST,-122.4139565,37.73190413,ASSAULT
8/12/2010 21:45,Thursday,MISSION,2000 Block of MISSION ST,-122.4196583,37.76422056,LARCENY/THEFT
2/20/2006 8:00,Monday,BAYVIEW,300 Block of SILLIMAN ST,-122.4085383,37.73027701,SECONDARY CODES
7/21/2008 8:30,Monday,BAYVIEW,WILLIAMS AV / NEWHALL ST,-122.3973909,37.72993997,OTHER OFFENSES
10/18/2009 18:00,Sunday,NORTHERN,LYON ST / UNION ST,-122.4468715,37.79563881,LARCENY/THEFT
6/2/2007 21:00,Saturday,TARAVAL,1800 Block of VICENTE ST,-122.4856038,37.73882143,OTHER OFFENSES
10/18/2007 1:52,Thursday,MISSION,0 Block of LEXINGTON ST,-122.4207869,37.76218212,DRUG/NARCOTIC
5/12/2008 11:19,Monday,CENTRAL,400 Block of JEFFERSON ST,-122.4199416,37.80774879,OTHER OFFENSES
10/17/2005 4:13,Monday,MISSION,2000 Block of MARKET ST,-122.4269556,37.76924706,BURGLARY
12/8/2014 9:00,Monday,SOUTHERN,0 Block of BERRY ST,-122.3884894,37.77967741,OTHER OFFENSES
3/7/2015 20:40,Saturday,INGLESIDE,1500 Block of SUNNYDALE AV,-122.417108,37.71225618,ASSAULT
5/13/2003 21:30,Tuesday,TENDERLOIN,200 Block of GOLDEN GATE AV,-122.4142634,37.78175698,LARCENY/THEFT
12/2/2010 1:36,Thursday,MISSION,1000 Block of SOUTH VAN NESS AV,-122.4167106,37.75634797,OTHER OFFENSES
11/3/2010 9:30,Wednesday,MISSION,800 Block of CAPP ST,-122.4174994,37.75308467,NON-CRIMINAL
5/31/2012 20:00,Thursday,BAYVIEW,MISSOURI ST / 16TH ST,-122.3969008,37.76642964,LARCENY/THEFT
9/18/2008 19:15,Thursday,BAYVIEW,1400 Block of PHELPS ST,-122.3944389,37.7364439,MISSING PERSON
10/7/2011 15:38,Friday,TARAVAL,1300 Block of 15TH AV,-122.4726543,37.76280666,NON-CRIMINAL
9/16/2013 9:51,Monday,CENTRAL,1100 Block of MONTGOMERY ST,-122.4040802,37.79965584,VANDALISM
10/17/2007 1:33,Wednesday,NORTHERN,1600 Block of OCTAVIA ST,-122.4268359,37.78739348,SEX OFFENSES FORCIBLE
5/30/2012 6:14,Wednesday,TENDERLOIN,0 Block of GROVE ST,-122.4156425,37.77883232,DISORDERLY CONDUCT
4/21/2011 12:36,Thursday,MISSION,24TH ST / ALABAMA ST,-122.4109627,37.75268492,OTHER OFFENSES
2/20/2007 19:30,Tuesday,TARAVAL,JUDAH ST / GREAT HWY,-122.5093809,37.76026954,LARCENY/THEFT
3/21/2004 3:30,Sunday,PARK,MARKET ST / CASTRO ST,-122.4351877,37.76267028,SUSPICIOUS OCC
9/30/2013 18:30,Monday,MISSION,26TH ST / SOUTH VAN NESS AV,-122.4159543,37.74917296,LARCENY/THEFT
5/2/2003 12:00,Friday,TARAVAL,0 Block of RALSTON ST,-122.4689344,37.71359843,LARCENY/THEFT
1/23/2007 11:00,Tuesday,INGLESIDE,700 Block of MOULTRIE ST,-122.4161875,37.7354388,SUSPICIOUS OCC
11/27/2012 2:15,Tuesday,TENDERLOIN,600 Block of OFARRELL ST,-122.4148505,37.78560876,ASSAULT
6/19/2010 0:01,Saturday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071,LARCENY/THEFT
11/30/2010 16:40,Tuesday,NORTHERN,1400 Block of EDDY ST,-122.4314965,37.78158914,LARCENY/THEFT
2/10/2006 2:41,Friday,NORTHERN,1800 Block of CHESTNUT ST,-122.4337848,37.80107493,ASSAULT
3/8/2009 17:35,Sunday,TENDERLOIN,0 Block of OFARRELL ST,-122.4058954,37.78673422,LARCENY/THEFT
10/7/2012 14:30,Sunday,CENTRAL,400 Block of COLUMBUS AV,-122.4084984,37.79905957,SUSPICIOUS OCC
11/29/2008 14:25,Saturday,SOUTHERN,0 Block of 6TH ST,-122.4089132,37.78121165,WARRANTS
6/28/2005 16:15,Tuesday,TENDERLOIN,0 Block of STOCKTON ST,-122.4062129,37.78603716,LARCENY/THEFT
5/14/2004 11:30,Friday,SOUTHERN,0 Block of 8TH ST,-122.4136846,37.77779846,LARCENY/THEFT
2/22/2010 17:30,Monday,SOUTHERN,500 Block of FOLSOM ST,-122.394866,37.78691697,BURGLARY
4/5/2013 17:00,Friday,MISSION,800 Block of TREAT AV,-122.413438,37.75654521,LARCENY/THEFT
3/30/2015 19:45,Monday,MISSION,3600 Block of 17TH ST,-122.427865,37.76298477,OTHER OFFENSES
2/25/2010 17:00,Thursday,RICHMOND,1100 Block of LAKE ST,-122.4716559,37.78630504,VANDALISM
9/20/2005 14:10,Tuesday,MISSION,2000 Block of MISSION ST,-122.4196583,37.76422056,DRUG/NARCOTIC
7/1/2011 18:00,Friday,TARAVAL,2400 Block of 25TH AV,-122.4819852,37.74181887,OTHER OFFENSES
5/14/2004 23:15,Friday,TARAVAL,300 Block of SAN BENITO WY,-122.4670508,37.73113873,VANDALISM
3/19/2007 16:17,Monday,TENDERLOIN,0 Block of TAYLOR ST,-122.4106899,37.78249489,OTHER OFFENSES
1/10/2014 10:26,Friday,SOUTHERN,300 Block of MAIN ST,-122.3910249,37.78877867,NON-CRIMINAL
11/24/2003 9:00,Monday,MISSION,15TH ST / SAN BRUNO AV,-122.4057096,37.76719953,VEHICLE THEFT
12/11/2003 18:40,Thursday,SOUTHERN,0 Block of 6TH ST,-122.4090112,37.78113406,WARRANTS
5/29/2014 23:28,Thursday,CENTRAL,POWELL ST / GEARY ST,-122.408231,37.78735949,WARRANTS
1/24/2003 0:45,Friday,MISSION,400 Block of DIVISION ST,-122.4112883,37.76884518,OTHER OFFENSES
3/20/2014 7:38,Thursday,TENDERLOIN,EDDY ST / MASON ST,-122.4093131,37.78434785,OTHER OFFENSES
12/31/2006 14:50,Sunday,MISSION,4100 Block of 24TH ST,-122.4352094,37.75117231,ASSAULT
7/30/2010 8:08,Friday,BAYVIEW,900 Block of CONNECTICUT ST,-122.3972019,37.75353512,OTHER OFFENSES
6/13/2009 17:49,Saturday,RICHMOND,800 Block of 45TH AV,-122.5057469,37.77250288,ASSAULT
10/19/2012 23:00,Friday,BAYVIEW,300 Block of BRIDGEVIEW DR,-122.3986979,37.73258759,VEHICLE THEFT
7/28/2010 18:59,Wednesday,BAYVIEW,700 Block of KIRKWOOD AV,-122.3740193,37.72920336,OTHER OFFENSES
9/5/2004 18:30,Sunday,TENDERLOIN,EDDY ST / HYDE ST,-122.4158851,37.78351606,DRUG/NARCOTIC
4/29/2004 21:15,Thursday,TENDERLOIN,ELLIS ST / HYDE ST,-122.4160753,37.78444966,PROSTITUTION
9/17/2012 16:38,Monday,PARK,1700 Block of GROVE ST,-122.4454654,37.77503077,SEX OFFENSES FORCIBLE
12/12/2004 13:00,Sunday,CENTRAL,500 Block of FRANCISCO ST,-122.4142668,37.80463488,NON-CRIMINAL
10/7/2006 1:22,Saturday,RICHMOND,700 Block of 39TH AV,-122.4993165,37.77466964,ASSAULT
4/19/2012 20:56,Thursday,INGLESIDE,BOSWORTH ST / CUVIER ST,-122.4285613,37.73347185,ROBBERY
5/13/2013 10:45,Monday,INGLESIDE,LIPPARD AV / JOOST AV,-122.436239,37.73238174,OTHER OFFENSES
12/13/2005 19:00,Tuesday,CENTRAL,300 Block of POST ST,-122.4076129,37.7884486,LARCENY/THEFT
1/22/2014 18:30,Wednesday,SOUTHERN,0 Block of STANFORD ST,-122.3918731,37.78075211,LARCENY/THEFT
7/7/2008 12:45,Monday,CENTRAL,2400 Block of TAYLOR ST,-122.415061,37.80487123,OTHER OFFENSES
11/1/2014 20:00,Saturday,NORTHERN,PINE ST / LAGUNA ST,-122.4287152,37.78857545,LARCENY/THEFT
8/11/2011 16:10,Thursday,CENTRAL,900 Block of POST ST,-122.4176342,37.78706319,OTHER OFFENSES
3/5/2009 9:45,Thursday,RICHMOND,JOHNFKENNEDY DR / 8TH AV,-122.4898047,37.77089178,LARCENY/THEFT
8/26/2006 18:30,Saturday,SOUTHERN,6TH ST / MINNA ST,-122.408163,37.78053454,ASSAULT
6/13/2007 19:35,Wednesday,INGLESIDE,BROMPTON AV / CHENERY ST,-122.4347166,37.73461804,OTHER OFFENSES
6/11/2012 8:30,Monday,INGLESIDE,100 Block of LELAND AV,-122.4069059,37.71248674,NON-CRIMINAL
2/23/2014 16:45,Sunday,PARK,700 Block of STANYAN ST,-122.4533763,37.76871427,LARCENY/THEFT
8/27/2011 16:00,Saturday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071,NON-CRIMINAL
5/28/2012 23:05,Monday,SOUTHERN,HOWARD ST / 5TH ST,-122.4049344,37.78149872,OTHER OFFENSES
5/28/2009 20:00,Thursday,INGLESIDE,0 Block of 30TH ST,-122.4226345,37.74227943,VANDALISM
5/18/2007 5:00,Friday,BAYVIEW,2300 Block of JERROLD AV,-122.4033256,37.74750864,LARCENY/THEFT
1/6/2015 22:04,Tuesday,RICHMOND,3200 Block of CABRILLO ST,-122.4934497,37.77407459,LARCENY/THEFT
11/28/2014 0:01,Friday,MISSION,SOUTH VAN NESS AV / 22ND ST,-122.416569,37.7555688,DRIVING UNDER THE INFLUENCE
6/1/2010 7:00,Tuesday,BAYVIEW,1200 Block of FITZGERALD AV,-122.3922973,37.72147082,BURGLARY
4/21/2007 16:16,Saturday,TENDERLOIN,0 Block of MASON ST,-122.4092684,37.78379987,SECONDARY CODES
1/24/2014 12:02,Friday,MISSION,2100 Block of MISSION ST,-122.4194705,37.76227017,LARCENY/THEFT
7/8/2004 17:30,Thursday,INGLESIDE,100 Block of APPLETON AV,-122.4218988,37.73795008,LARCENY/THEFT
11/14/2006 21:00,Tuesday,MISSION,100 Block of SANCARLOS ST,-122.4201191,37.76096951,LARCENY/THEFT
8/11/2005 0:40,Thursday,CENTRAL,400 Block of POWELL ST,-122.4085684,37.78875942,TRESPASS
3/25/2006 0:44,Saturday,NORTHERN,400 Block of FULTON ST,-122.4241809,37.77858641,VANDALISM
11/5/2011 0:30,Saturday,CENTRAL,0 Block of FELLA PL,-122.4086331,37.79090467,LARCENY/THEFT
2/8/2003 13:22,Saturday,TENDERLOIN,400 Block of JONES ST,-122.4127588,37.7850961,OTHER OFFENSES
7/26/2005 23:25,Tuesday,NORTHERN,MYRTLE ST / LARKIN ST,-122.4179993,37.78564075,DRUG/NARCOTIC
5/3/2009 11:00,Sunday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071,LARCENY/THEFT
6/3/2007 0:34,Sunday,MISSION,SOUTH VAN NESS AV / 19TH ST,-122.4170284,37.76036569,OTHER OFFENSES
12/31/2010 4:10,Friday,TARAVAL,100 Block of GRIJALVA DR,-122.4798016,37.71582255,ASSAULT
2/27/2010 1:00,Saturday,SOUTHERN,7TH ST / MARKET ST,-122.4125153,37.78047775,ASSAULT
2/2/2009 14:21,Monday,SOUTHERN,900 Block of MARKET ST,-122.4084211,37.78356994,LARCENY/THEFT
1/15/2011 20:44,Saturday,TENDERLOIN,300 Block of GOLDEN GATE AV,-122.416352,37.78160314,OTHER OFFENSES
2/18/2013 7:05,Monday,MISSION,800 Block of DOUGLASS ST,-122.4383663,37.75062924,LARCENY/THEFT
2/21/2004 11:00,Saturday,BAYVIEW,1600 Block of NEWCOMB AV,-122.3910896,37.7359045,KIDNAPPING
4/19/2007 19:30,Thursday,TARAVAL,3200 Block of 20TH AV,-122.4756475,37.72852806,LARCENY/THEFT
5/27/2008 0:01,Tuesday,MISSION,600 Block of GRANDVIEW AV,-122.4427183,37.74995014,FRAUD
1/28/2010 10:02,Thursday,MISSION,2100 Block of MISSION ST,-122.4193859,37.76283309,NON-CRIMINAL
5/18/2010 19:45,Tuesday,MISSION,2000 Block of MARKET ST,-122.4269556,37.76924706,LARCENY/THEFT
11/1/2013 13:45,Friday,TARAVAL,3200 Block of 20TH AV,-122.4756475,37.72852806,LARCENY/THEFT
8/18/2004 15:05,Wednesday,SOUTHERN,800 Block of 3RD ST,-122.3914251,37.77787278,WARRANTS
7/13/2013 17:05,Saturday,CENTRAL,1200 Block of CALIFORNIA ST,-122.4149555,37.79136361,OTHER OFFENSES
7/13/2006 21:40,Thursday,INGLESIDE,800 Block of MOSCOW ST,-122.4326139,37.71476017,OTHER OFFENSES
6/14/2012 0:01,Thursday,BAYVIEW,1000 Block of HOLLISTER AV,-122.3915492,37.7191792,ASSAULT
6/29/2008 14:00,Sunday,RICHMOND,500 Block of JOHNFKENNEDY DR,-122.4662047,37.77254054,LARCENY/THEFT
4/13/2015 13:30,Monday,CENTRAL,300 Block of GREEN ST,-122.4049765,37.79995469,NON-CRIMINAL
7/25/2013 18:00,Thursday,PARK,RIVOLI ST / STANYAN ST,-122.4520979,37.76216617,VEHICLE THEFT
12/27/2012 11:00,Thursday,INGLESIDE,200 Block of ONONDAGA AV,-122.4419722,37.72300044,MISSING PERSON
5/22/2011 22:00,Sunday,TENDERLOIN,400 Block of OFARRELL ST,-122.4125694,37.78589551,SEX OFFENSES FORCIBLE
7/24/2013 0:01,Wednesday,TARAVAL,1400 Block of 24TH AV,-122.4823545,37.7605091,NON-CRIMINAL
5/1/2009 11:00,Friday,BAYVIEW,3RD ST / WALLACE AV,-122.3928993,37.72849042,LARCENY/THEFT
7/14/2013 20:20,Sunday,CENTRAL,1200 Block of PACIFIC AV,-122.4158557,37.79582595,ROBBERY
5/3/2008 18:00,Saturday,TARAVAL,0 Block of WESTPORTAL AV,-122.4664486,37.74033299,VANDALISM
2/21/2012 21:00,Tuesday,PARK,0 Block of DIVISADERO ST,-122.4366261,37.76815289,NON-CRIMINAL
7/29/2011 23:35,Friday,PARK,GROVE ST / DIVISADERO ST,-122.4379902,37.77592487,OTHER OFFENSES
6/17/2011 14:22,Friday,PARK,2200 Block of GEARY BL,-122.4403411,37.78332425,MISSING PERSON
9/8/2010 18:33,Wednesday,BAYVIEW,1700 Block of 17TH ST,-122.4011307,37.76492258,WARRANTS
10/24/2010 18:30,Sunday,CENTRAL,600 Block of BUSH ST,-122.407327,37.79039942,SUSPICIOUS OCC
9/3/2007 10:45,Monday,TENDERLOIN,0 Block of STOCKTON ST,-122.4063518,37.78603116,GAMBLING
7/29/2006 15:06,Saturday,NORTHERN,1100 Block of WEBSTER ST,-122.4306702,37.7811721,MISSING PERSON
4/18/2007 13:30,Wednesday,INGLESIDE,NORTON ST / MISSION ST,-122.4348705,37.72458916,OTHER OFFENSES
9/13/2004 1:00,Monday,NORTHERN,STEINER ST / OAK ST,-122.4324693,37.77375752,VEHICLE THEFT
5/16/2004 22:00,Sunday,MISSION,200 Block of SANCHEZ ST,-122.4310214,37.76510225,VEHICLE THEFT
3/30/2004 16:00,Tuesday,BAYVIEW,3800 Block of 3RD ST,-122.3879395,37.74226005,NON-CRIMINAL
1/9/2013 12:00,Wednesday,INGLESIDE,0 Block of BRAZIL AV,-122.4343729,37.724543,OTHER OFFENSES
6/11/2007 9:05,Monday,INGLESIDE,MISSION ST / SILVER AV,-122.431295,37.72872979,ROBBERY
10/15/2008 15:20,Wednesday,MISSION,SOUTH VAN NESS AV / 23RD ST,-122.4164135,37.75396712,OTHER OFFENSES
9/22/2007 22:10,Saturday,TARAVAL,IRVING ST / 19TH AV,-122.4771724,37.76355846,OTHER OFFENSES
8/10/2014 5:13,Sunday,BAYVIEW,300 Block of ARKANSAS ST,-122.3983295,37.76181538,LARCENY/THEFT
10/23/2011 18:24,Sunday,BAYVIEW,3RD ST / KIRKWOOD AV,-122.3895882,37.73795727,OTHER OFFENSES
1/5/2009 0:01,Monday,SOUTHERN,1200 Block of MARKET ST,-122.4154442,37.77802457,NON-CRIMINAL
7/24/2006 22:00,Monday,MISSION,BARTLETT ST / 21ST ST,-122.4200131,37.75696861,LARCENY/THEFT
8/21/2012 20:25,Tuesday,TARAVAL,1200 Block of IRVING ST,-122.4711456,37.76387961,OTHER OFFENSES
10/1/2008 11:30,Wednesday,BAYVIEW,300 Block of WILLIAMS AV,-122.3994437,37.73017602,LARCENY/THEFT
8/10/2007 11:46,Friday,BAYVIEW,3700 Block of 3RD ST,-122.3878473,37.74312273,NON-CRIMINAL
5/18/2012 9:45,Friday,BAYVIEW,1300 Block of GILMAN AV,-122.3946463,37.72199202,MISSING PERSON
6/24/2004 19:00,Thursday,TARAVAL,1500 Block of 29TH AV,-122.487444,37.75841232,VANDALISM
9/22/2006 14:00,Friday,NORTHERN,1200 Block of VANNESS AV,-122.421442,37.78685165,FRAUD
3/11/2010 19:24,Thursday,TENDERLOIN,600 Block of ELLIS ST,-122.4168937,37.78428605,OTHER OFFENSES
6/22/2004 16:00,Tuesday,BAYVIEW,700 Block of MINNESOTA ST,-122.3904437,37.76103077,OTHER OFFENSES
3/21/2004 13:50,Sunday,NORTHERN,LAGUNA ST / GOLDEN GATE AV,-122.4270196,37.78019212,ROBBERY
4/28/2004 22:30,Wednesday,RICHMOND,300 Block of 17TH AV,-122.4761675,37.78142549,LARCENY/THEFT
9/12/2010 17:00,Sunday,NORTHERN,1500 Block of BEACH ST,-122.4345615,37.80480116,LARCENY/THEFT
1/13/2013 23:22,Sunday,RICHMOND,0 Block of ATALAYA TR,-122.4475921,37.77605369,OTHER OFFENSES
11/20/2005 3:30,Sunday,CENTRAL,400 Block of POWELL ST,-122.4085684,37.78875942,ROBBERY
7/8/2008 10:29,Tuesday,TARAVAL,SKYLINEBLVD HY / LAKE MERCED BL,-122.4990555,37.73157438,STOLEN PROPERTY
9/19/2003 8:15,Friday,RICHMOND,GEARY BL / COOK ST,-122.4521447,37.7818527,LARCENY/THEFT
8/6/2003 20:50,Wednesday,BAYVIEW,REVERE AV / JENNINGS ST,-122.3864207,37.72954477,SECONDARY CODES
3/29/2004 1:29,Monday,NORTHERN,WEBSTER ST / GROVE ST,-122.4296875,37.77697579,OTHER OFFENSES
5/6/2010 6:02,Thursday,SOUTHERN,0 Block of FALMOUTH ST,-122.4041031,37.77925733,OTHER OFFENSES
3/20/2014 12:10,Thursday,BAYVIEW,200 Block of NAPOLEON ST,-122.3991748,37.7469781,SUSPICIOUS OCC
5/2/2005 16:00,Monday,PARK,DOWNEY ST / FREDERICK ST,-122.4472,37.76710927,VEHICLE THEFT
9/6/2003 23:00,Saturday,BAYVIEW,1100 Block of MARIPOSA ST,-122.3952099,37.76398973,BURGLARY
5/18/2007 9:30,Friday,NORTHERN,200 Block of FELL ST,-122.4219728,37.77599808,LARCENY/THEFT
5/18/2014 15:50,Sunday,RICHMOND,FUNSTON AV / CLEMENT ST,-122.4719165,37.78259496,NON-CRIMINAL
12/30/2010 10:45,Thursday,SOUTHERN,600 Block of STEVENSON ST,-122.4126519,37.77951317,DRUG/NARCOTIC
6/30/2006 10:00,Friday,SOUTHERN,0 Block of 4TH ST,-122.404957,37.78511786,SUSPICIOUS OCC
10/2/2009 23:54,Friday,SOUTHERN,0 Block of 1ST ST,-122.3984236,37.79036125,DRIVING UNDER THE INFLUENCE
12/27/2006 8:00,Wednesday,BAYVIEW,26TH ST / CONNECTICUT ST,-122.3964111,37.75117843,VEHICLE THEFT
11/28/2013 8:26,Thursday,INGLESIDE,100 Block of BOCANA ST,-122.4174903,37.74112017,LARCENY/THEFT
7/7/2004 0:25,Wednesday,PARK,BAKER ST / FELL ST,-122.4409239,37.77363511,OTHER OFFENSES
8/23/2014 0:01,Saturday,RICHMOND,100 Block of 20TH AV,-122.4796479,37.78503933,OTHER OFFENSES
